state,state_name,is_swing,electoral_votes,trump_votes,harris_votes,kennedy_votes,total_votes,trump_vote_share,harris_vote_share,other_vote_share,margin,winner,electoral_votes_trump,electoral_votes_harris
NY,New York,False,28,3578899,4619195,0,8262495,0.4331499141603111,0.5590557089595818,0.00779437688010709,-0.12590579479927066,Harris,0,28
OH,Ohio,False,17,3180116,2533699,0,5767788,0.5513579902728741,0.4392843495634722,0.009357660163653692,0.11207364070940196,Trump,17,0
OK,Oklahoma,False,7,1036213,499599,16020,1566173,0.6616210342024795,0.3189934956099997,0.019385470187520792,0.34262753859247985,Trump,7,0
OR,Oregon,False,8,919480,1240600,33733,2244493,0.4096604444745428,0.5527306166693324,0.03760893885612471,-0.14307017219478962,Harris,0,8
PA,Pennsylvania,True,19,3543308,3423042,0,7058732,0.5019751422776783,0.48493723801951966,0.013087619702802089,0.017037904258158598,Trump,19,0
RI,Rhode Island,False,4,214406,285156,5045,513386,0.41763117809990924,0.5554417144215074,0.0269271074785834,-0.13781053632159812,Harris,0,4
SC,South Carolina,False,9,1483747,1028452,0,2548140,0.5822862951015251,0.40360890688894646,0.014104798009528463,0.17867738821257861,Trump,9,0
SD,South Dakota,False,3,272081,146859,7204,428922,0.6343367791812964,0.34239092422398476,0.023272296594718855,0.2919458549573116,Trump,3,0
TN,Tennessee,False,11,1966865,1056265,21535,3063942,0.6419393709149847,0.3447405336001791,0.013320095484836258,0.29719883731480556,Trump,11,0
TX,Texas,False,40,6393597,4835250,0,11388674,0.561399597529967,0.42456654743124617,0.014033855038786791,0.13683305009872088,Trump,40,0
UT,Utah,False,6,883818,562566,0,1488494,0.5937665855556018,0.3779430753499846,0.028290339094413586,0.2158235102056172,Trump,6,0
VA,Virginia,False,13,2074097,2333778,0,4503288,0.46057391843470813,0.5182386736091495,0.021187407956142268,-0.05766475517444142,Harris,0,13
VT,Vermont,False,3,119395,235791,5905,369422,0.32319407073753054,0.6382700543010432,0.0385358749614263,-0.3150759835635127,Harris,0,3
WA,Washington,False,12,1530923,2245849,54868,3924243,0.39011931727979127,0.5723012056083173,0.03757947711189147,-0.18218188832852605,Harris,0,12
WI,Wisconsin,True,10,1697626,1668229,17740,3422918,0.495958711251628,0.48737042488309684,0.01667086386527522,0.00858828636853115,Trump,10,0
WV,West Virginia,False,4,533556,214309,8947,762582,0.6996703305349458,0.2810307612820654,0.01929890818298885,0.4186395692528804,Trump,4,0
WY,Wyoming,False,3,192633,69527,0,269048,0.7159800481698433,0.2584185721506943,0.02560137967946241,0.457561476019149,Trump,3,0
